Section;Position;X;Y;Z;SedDepth;n;GrainSize;GrainType;Cover;Pics;0bvs
13;Lin;3436;52;102;NaN;0,035;NaN;NaN;NaN;2255;
13;Rin;3436;86;80;NaN;0,035;NaN;NaN;NaN;2255;
13;Mid;NaN;NaN;NaN;Oct-20;0,035;NaN;coarse sand;ragweed ;2255;
14;Lout;4036;0;0;25;0,035;NaN;Medium sand and silt ;grass and shurbs;2259;
14;Rout;4036;114;0;25;0,035;NaN;Silt to Fine sand;grass and shurbs;2259;
14;Lin;4036;36;83;NaN;0,035;NaN;NaN;NaN;2259;
14;Rin;4036;72;77;NaN;0,035;NaN;NaN;NaN;2259;
14;Mid;NaN;NaN;NaN;5;0,035;NaN;coarse sand;ragweed, sparse grass ;2259;
15;Lout;4636;0;0;5;0,035;NaN;Medium sand;grass;2264;
15;Rout;4636;114;0;NaN;0,035;NaN;sandy silt;grass;2264;
15;Lin;4636;72;65;NaN;0,035;NaN;NaN;NaN;2264;
15;Rin;4636;106;50;NaN;0,035;NaN;NaN;NaN;2264;Bedrock steps
15;Mid;NaN;NaN;NaN;15;0,035;NaN;very coarse sand;Bare ground;2264;Bedrock steps
16;Lout;5236;0;0;35;0,035;NaN;Medium sand and silt ;ragweed ;2268;
16;Rout;5236;142;0;35;0,035;NaN;very fine sand;grass, mulefat;2268;
16;Lin;5236;36;80;NaN;0,035;NaN;NaN;NaN;2268;
16;Rin;5236;108;59;NaN;0,035;NaN;NaN;NaN;2268;
16;Mid;NaN;NaN;NaN;10;0,035;NaN;coarse sand;ragweed ;2268;Bedrock steps
17;Lout;5836;0;0;15;0,035;NaN;Silt to Fine sand;grass;2274;Bedrock steps
17;Rout;5836;180;0;NaN;0,035;NaN;Bedrock;grass;2274;
17;Lin;5836;96;56;NaN;0,035;NaN;NaN;NaN;2274;
17;Rin;5836;168;85;NaN;0,035;NaN;NaN;NaN;2274;
17;Mid;NaN;NaN;NaN;NaN;0,035;NaN;Bedrock;Bare ground;2274;
18;Lout;6436;0;0;5;0,035;NaN;Silt to Fine sand;Bedrock, Oak tree in the riparian zone;2279;
18;Rout;6436;276;0;10;0,035;NaN;fine to mid sand;grass;2279;
18;Lin;6436;60;110;NaN;0,035;NaN;NaN;NaN;2279;
18;Rin;6436;220;100;NaN;0,035;NaN;NaN;NaN;2279;
18;Mid;6436;137;85;5;0,035;NaN;Medium sand;grass, ragweed and sycamore;2279;
19;Lout;7036;0;0;15;0,035;NaN;coarse sand ;grass, mulefat;2285;seeps
19;Rout;7036;117;0;30-35;0,035;0.1-0.5 mm;very fine sand;Bushes, woody debris ;2285;seeps
19;Lin;7036;18;85;NaN;0,035;NaN;NaN;NaN;2285;seeps
19;Rin;7036;60;57;NaN;0,035;NaN;NaN;NaN;2285;seeps
19;Mid;NaN;NaN;NaN;20;0,035;NaN;coarse sand over bedrock;bare ground;2285;seeps
20;Lout;7396;0;0;NaN;0,035;NaN;bedrock, sparse cover with mid sand;ragweed and bay laurel;NaN;Wetland-like vegetation
20;Rout;7396;312;0;NaN;0,035;NaN;bedrock;cat tails, wild cucumber brushes;NaN;
20;Lin;7396;48;155;NaN;0,035;NaN;NaN;NaN;NaN;
20;Rin;7396;312;120;NaN;0,035;NaN;NaN;NaN;NaN;
20;Mid;7396;208;80;25;0,035;NaN;Moist cover rich silt very fine sand;mulefat, cat tails;NaN;
